INFO:MyNBA:Downloading players...
INFO:MyNBA:Downloading players...
INFO:PlayerApi:Tony Snell saved.
INFO:PlayerApi:Marreese Speights saved.
INFO:PlayerApi:Nik Stauskas saved.
INFO:PlayerApi:Lance Stephenson saved.
INFO:PlayerApi:David Stockton saved.
INFO:PlayerApi:Julyan Stone saved.
INFO:PlayerApi:Edmond Sumner saved.
INFO:PlayerApi:Caleb Swanigan saved.
INFO:PlayerApi:Jayson Tatum saved.
INFO:PlayerApi:Isaiah Taylor saved.
INFO:PlayerApi:Jeff Teague saved.
INFO:PlayerApi:Marquis Teague saved.
INFO:PlayerApi:Mirza Teletovic saved.
INFO:PlayerApi:Garrett Temple saved.
INFO:PlayerApi:Milos Teodosic saved.
INFO:PlayerApi:Jason Terry saved.
INFO:PlayerApi:Daniel Theis saved.
INFO:PlayerApi:Isaiah Thomas saved.
INFO:PlayerApi:Lance Thomas saved.
INFO:PlayerApi:Klay Thompson saved.
INFO:PlayerApi:Tristan Thompson saved.
INFO:PlayerApi:Sindarius Thornwell saved.
INFO:PlayerApi:Anthony Tolliver saved.
INFO:PlayerApi:Karl-Anthony Towns saved.
INFO:PlayerApi:PJ Tucker saved.
INFO:PlayerApi:Evan Turner saved.
INFO:PlayerApi:Myles Turner saved.
INFO:PlayerApi:Ekpe Udoh saved.
INFO:PlayerApi:Tyler Ulis saved.
INFO:PlayerApi:Jonas Valanciunas saved.
INFO:PlayerApi:Denzel Valentine saved.
INFO:PlayerApi:Fred VanVleet saved.
INFO:PlayerApi:Rashad Vaughn saved.
INFO:PlayerApi:Noah Vonleh saved.
INFO:PlayerApi:Nikola Vucevic saved.
INFO:PlayerApi:Dwyane Wade saved.
INFO:PlayerApi:Dion Waiters saved.
INFO:PlayerApi:Kemba Walker saved.
INFO:PlayerApi:John Wall saved.
INFO:PlayerApi:Tyrone Wallace saved.
INFO:PlayerApi:Derrick Walton Jr. saved.
INFO:PlayerApi:Jameel Warney saved.
INFO:PlayerApi:TJ Warren saved.
INFO:PlayerApi:Travis Wear saved.
INFO:PlayerApi:James Webb III saved.
INFO:PlayerApi:Briante Weber saved.
INFO:PlayerApi:David West saved.
INFO:PlayerApi:Russell Westbrook saved.
INFO:PlayerApi:Derrick White saved.
INFO:PlayerApi:Okaro White saved.
INFO:PlayerApi:Andrew White III saved.
INFO:PlayerApi:Isaiah Whitehead saved.
INFO:PlayerApi:Hassan Whiteside saved.
INFO:PlayerApi:Andrew Wiggins saved.
INFO:PlayerApi:Jacob Wiley saved.
INFO:PlayerApi:Damien Wilkins saved.
INFO:PlayerApi:Alan Williams saved.
INFO:PlayerApi:C.J. Williams saved.
INFO:PlayerApi:Derrick Williams saved.
INFO:PlayerApi:Lou Williams saved.
INFO:PlayerApi:Marvin Williams saved.
INFO:PlayerApi:Troy Williams saved.
INFO:PlayerApi:Matt Williams Jr. saved.
INFO:PlayerApi:D.J. Wilson saved.
INFO:PlayerApi:Jamil Wilson saved.
INFO:PlayerApi:Justise Winslow saved.
INFO:PlayerApi:Jeff Withey saved.
INFO:PlayerApi:Nate Wolters saved.
INFO:PlayerApi:Brandan Wright saved.
INFO:PlayerApi:Delon Wright saved.
INFO:PlayerApi:Guerschon Yabusele saved.
INFO:PlayerApi:James Young saved.
INFO:PlayerApi:Joe Young saved.
INFO:PlayerApi:Nick Young saved.
INFO:PlayerApi:Thaddeus Young saved.
INFO:PlayerApi:Cody Zeller saved.
INFO:PlayerApi:Tyler Zeller saved.
INFO:PlayerApi:Paul Zipser saved.
INFO:PlayerApi:Ante Zizic saved.
INFO:PlayerApi:Ivica Zubac saved.
INFO:PlayerDownloader:All teams downloaded.
INFO:MyNBA:Players downloaded.
INFO:MyNBA:Downloading teams...
INFO:MyNBA:Downloading players...
INFO:MyNBA:Downloading players...
INFO:PlayerDownloader:All teams downloaded.
INFO:MyNBA:Players downloaded.
INFO:MyNBA:Downloading teams...
INFO:MyNBA:Downloading scoreboards...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/01/1953...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/02/1953...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/03/1953...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/04/1953...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/05/1953...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/06/1953...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/07/1953...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/08/1953...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/09/1953...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/10/1953...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/11/1953...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/12/1953...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/13/1953...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/14/1953...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/15/1953...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/16/1953...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/17/1953...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/18/1953...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/19/1953...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/20/1953...
INFO:MyNBA:Downloading scoreboards...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/01/2013...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/02/2013...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/03/2013...
INFO:ScoreboardDownloader:Getting scoreboards for date 10/04/2013...
INFO:ScoreboardDownloader:Scoreboard data exists for 10/05/2013
INFO:ScoreboardDownloader:Scoreboard data exists for 10/06/2013
INFO:ScoreboardDownloader:Scoreboard data exists for 10/07/2013
INFO:ScoreboardDownloader:Scoreboard data exists for 10/08/2013
INFO:ScoreboardDownloader:Scoreboard data exists for 10/09/2013
INFO:ScoreboardDownloader:Scoreboard data exists for 10/10/2013
INFO:ScoreboardDownloader:Scoreboard data exists for 10/11/2013
INFO:ScoreboardDownloader:Scoreboard data exists for 10/12/2013
INFO:ScoreboardDownloader:Scoreboard data exists for 10/13/2013
INFO:ScoreboardDownloader:Scoreboard data exists for 10/14/2013
INFO:ScoreboardDownloader:Scoreboard data exists for 10/15/2013
INFO:ScoreboardDownloader:Scoreboard data exists for 10/16/2013
INFO:ScoreboardDownloader:Scoreboard data exists for 10/17/2013
INFO:ScoreboardDownloader:Scoreboard data exists for 10/18/2013
INFO:ScoreboardDownloader:Scoreboard data exists for 10/19/2013
INFO:ScoreboardDownloader:Scoreboard data exists for 10/20/2013
INFO:ScoreboardDownloader:Scoreboard data exists for 10/21/2013
